Tweet,Positivity,Negativity
@Crystal20212004 都起反應了,4,2
@kaixinshenghuo2 希望是同一個人😊就好,4,1
@iyongtseng 買影片都會看到😊,4,1
@Sally19900419 火辣辣😊,5,1
"看來黃牛們開始在甩賣顯示卡了，不過還是黃牛價…
RTX3090 40張，其他的都是100張都甩賣🤔


#rtx3090",3,4
@Eason73377961 @domybesttoreply 叔叔陪妳玩好不好！,5,1
@jcc012197519 太久沒🤭🤭,4,2
"我喜歡 #種子 小姐留在床上的味道。


那種無關性慾的氣味讓我覺得安心，甚至讓我逃離慾望掌控的狀態。她看似艷麗色情，實則只是一朵高雅的玫瑰。",4,2
@xxy7786 別掉了,2,4
@Icarus906 @nethu53 好像還是比我大（亂入,3,2
"嚕來嚕跨哞餒🤨


https://t.co/Y0vJ2cdSTo",4,2
剛剛發佈了 1 張相片 @ 琢蘊越亨，炫茶器，柴燒 https://t.co/o0fROKQF2V,5,1
@Jing44132694 不戴套，插入後內射還繼續插行嗎？,2,4
@Shih_nann 真的習慣嗎？,2,3
@o4JeqwRtSGRNwGV 我用舌頭幫妳會更舒服,4,1
趙又宣本奶，我是說本人。 https://t.co/U8yQCIHBQ5,4,1
@helloidiot_87 不能不看見兩顆大眼睛～,4,1
"為啥很多人都說我是什麼傻大姐的感覺
明明我推特人設不是那樣呀😂😂😂",4,1
@mir_u90 讓我好好插入，讓妳爽爽得,2,1
@Responder_a_Zan 你們的靈魂交疊在一起了（頭暈,4,2
@Responder_a_Zan 喜歡你的文字，總覺得靈魂在跳動，但口邊詞彙貧乏，有共鳴卻說不出什麼，只好轉推。,4,1
@KyonSmithInTW +除垢法和公職追放,2,4
好喜歡蕾蕾 https://t.co/tQhgstZ967,5,1
@shihweilahhh 不認真…寫不出來…認真…更寫不出來…,3,4
@lcRlajfUDu19EE7 沒有 我超兇 我是吉娃娃,4,2
@mucen14 我很喜歡俏皮護士,5,1
@anla97856366 我有時候裸睡,3,1
@archie_hsieh 我覺得有啊😂,5,1
@weiya1234 很美喔,5,1
他每次離開之後，我都會想著他很久很久。,4,2
@GetsuyuuYomi 這個禮物太美好了😇❤️,5,1
"國有國法家有家規世界當然有世界法
https://t.co/QgdZvk7Iu7
證據留給聯合國各國請各國準備好世界法來控告台灣一些人、做人做事暗來暗去、硬要我們善良百姓的命、一些好人",4,4
@KT_YunLie 第二點超好笑,5,1
@niang_sao 腿控報到 真美,5,1
@sharia_cn 嗨 台中 可聊天 做朋友嗎,4,1
@Habi032424 我可以約嗎,3,1
@blackskinsister 嗯，好看的肉肉😏,4,1
"想愛愛了
＃花蓮 的朋友",4,1
@dddop19 有點久,2,3
@Troyliii 身材好好哦,5,1
@2oo1_vers1 說得太好了😉,5,1
@violet_20001015 好白好長的腿,4,1
@Lai_Lai0528 ㄌㄌ祝好睡😴,4,1
@heart_m_honey 我要預約你以後的晚安,5,1
"我印象中这种方法好像早就有人提过吧
我们。学校有一门实验课就是用普通LED灯实现可见光通讯，我亲测效果极差，需要关掉实验室所有灯光，并且保证LED收发器对得很准的情况下才有用，条件比较苛刻，更别说主机前面板那个硬盘LED亮度那么低，我觉得可行性不大 https://t.co/G9xnwbMT4z",2,4
@linjiaq28837511 舌頭伸出來就可以學了,4,1
@jia0kelvin @LocoLost65 所以加零要綁架艾莉卡嗎（X,2,4
晚上狂吃餅乾 我快胖死了,4,3
好罪惡 最近一直在吃吃吃吃吃⋯,3,2
"@mugglepikachu 我沒有這三個
但我想輕輕接住你的淚水",4,3
